prefix,name,questrade_symbol_id
MMM,3M Company,38677
ABT,Abbott Laboratories,6360
ABBV,AbbVie,3017320
ACN,Accenture plc,43428
ATVI,Activision Blizzard,6543
AYI,Acuity Brands Inc,6548
ADBE,Adobe Systems Inc,6635
AAP,Advance Auto Parts,6655
AES,AES Corp,6182
AET,Aetna Inc,6802
AMG,Affiliated Managers Group Inc,6806
AFL,AFLAC Inc,6156
A,Agilent Technologies Inc,6848
APD,Air Products & Chemicals Inc,6912
AKAM,Akamai Technologies Inc,6938
ALK,Alaska Air Group Inc,6996
ALB,Albemarle Corp,7013
AGN,"Allergan, Plc",10149448
LNT,Alliant Energy Corp,7205
ALXN,Alexion Pharmaceuticals,7086
ALLE,Allegion,4924821
ADS,Alliance Data Systems,7181
ALL,Allstate Corp,7250
GOOGL,Alphabet Inc Class A,11419766
GOOG,Alphabet Inc Class C,11419765
MO,Altria Group Inc,7361
AMZN,Amazon.com Inc,7410
AEE,Ameren Corp,7449
AAL,American Airlines Group,5070993
AEP,American Electric Power,7529
AXP,American Express Co,7549
AIG,"American International Group, Inc.",7582
AMT,American Tower Corp A,1505266
AWK,American Water Works Company Inc,7705
AMP,Ameriprise Financial,7749
ABC,AmerisourceBergen Corp,7734
AME,AMETEK Inc,7762
AMGN,Amgen Inc,7777
APH,Amphenol Corp,7804
APC,Anadarko Petroleum Corp,7828
ADI,"Analog Devices, Inc.",7834
ANTM,Anthem Inc.,8260052
AON,Aon plc,1900044
APA,Apache Corporation,8007
AIV,Apartment Investment & Mgmt,8010
AAPL,Apple Inc.,8049
AMAT,Applied Materials Inc,8068
ADM,Archer-Daniels-Midland Co,8145
ARNC,Arconic Inc,15554130
AJG,Arthur J. Gallagher & Co.,19672
AIZ,Assurant Inc,8440
T,AT&T Inc,6280
ADSK,Autodesk Inc,8674
ADP,Automatic Data Processing,8689
AN,AutoNation Inc,8694
AZO,AutoZone Inc,8697
AVB,"AvalonBay Communities, Inc.",8716
AVY,Avery Dennison Corp,8752
BHI,Baker Hughes Inc,9101
BLL,Ball Corp,9119
BAC,Bank of America Corp,9199
BK,The Bank of New York Mellon Corp.,9338
BCR,Bard (C.R.) Inc.,9473
BAX,Baxter International Inc.,9648
BBT,BB&T Corporation,8845
BDX,Becton Dickinson,9736
BBBY,Bed Bath & Beyond,9737
BBY,Best Buy Co. Inc.,10000
BIIB,BIOGEN IDEC Inc.,10123
BLK,BlackRock,10280
HRB,Block H&R,10405
BA,Boeing Company,10489
BWA,BorgWarner,10596
BXP,Boston Properties,10659
BSX,Boston Scientific,10663
BMY,Bristol-Myers Squibb,10858
AVGO,Broadcom,12703129
CHRW,C. H. Robinson Worldwide,11409
CA,"CA, Inc.",11580
COG,Cabot Oil & Gas,11609
CPB,Campbell Soup,11790
COF,Capital One Financial,12466
CAH,Cardinal Health Inc.,12561
HSIC,Henry Schein,35585
KMX,Carmax Inc,12629
CCL,Carnival Corp.,12636
CAT,Caterpillar Inc.,12768
CBG,CBRE Group,1116110
CBS,CBS Corp.,11326
CELG,Celgene Corp.,12847
CNC,Centene Corporation,12889
CNP,CenterPoint Energy,12902
CTL,CenturyLink Inc,13004
CERN,Cerner,13018
CF,CF Industries Holdings Inc,11400
SCHW,Charles Schwab Corporation,35603
CHTR,Charter Communications,13780501
CHK,Chesapeake Energy,13164
CVX,Chevron Corp.,13185
CMG,Chipotle Mexican Grill,13546
CB,Chubb Limited,12589967
CHD,Church & Dwight,13577
CI,CIGNA Corp.,11423
XEC,Cimarex Energy,13599
CINF,Cincinnati Financial,13610
CTAS,Cintas Corporation,13664
CSCO,Cisco Systems,13648
C,Citigroup Inc.,13687
CFG,Citizens Financial Group,7553880
CTXS,Citrix Systems,13790
CLX,The Clorox Company,14053
CME,CME Group Inc.,11443
CMS,CMS Energy,11452
COH,Coach Inc.,14070
KO,Coca Cola Company,14126
CTSH,Cognizant Technology Solutions,14161
CL,Colgate-Palmolive,14191
CMCSA,Comcast A Corp,14281
CMA,Comerica Inc.,14289
CAG,ConAgra Foods Inc.,14498
CXO,Concho Resources,14523
COP,ConocoPhillips,14603
ED,Consolidated Edison,14643
STZ,Constellation Brands,14708
GLW,Corning Inc.,14893
COST,Costco Co.,15012
COTY,"Coty, Inc",3946266
CCI,Crown Castle International Corp.,8352798
CSRA,CSRA Inc.,11835151
CSX,CSX Corp.,11543
CMI,Cummins Inc.,15290
CVS,CVS Health,11575
DHI,D. R. Horton,15475
DHR,Danaher Corp.,15564
DRI,Darden Restaurants,15588
DVA,DaVita Inc.,15649
DE,Deere & Co.,15714
DLPH,Delphi Automotive,1277638
